id,split_ID,first
0,331,331
1,330,330
2,329,329
3,328,328
4,327,327
5,326,326
6,325,325
7,324,324
8,321,321
9,320,320
10,311,311
11,310,310
12,309,309
13,338,338
14,308,308
15,319,319
16,318,318
17,317,317
18,316,316
19,315,315
20,314,314
21,313,313
22,337,337
23,312,312
24,307,307
25,306,306
26,297,297
27,296,296
28,295,295
29,305,305
30,304,304
31,303,303
32,302,302
33,301,301
34,300,300
35,299,299
36,298,298
37,294,294
38,293,293
39,284,284
40,336,336
41,283,283
42,282,282
43,281,281
44,280,280
45,292,292
46,291,291
47,290,290
48,289,289
49,288,288
50,335,335
51,287,287
52,286,286
53,285,285
54,279,279
55,278,278
56,270,270
57,269,269
58,268,268
59,267,267
60,266,266
61,265,265
62,264,264
63,334,334
64,262,262
65,261,261
66,260,260
67,259,259
68,258,258
69,257,257
70,256,256
71,255,255
72,254,254
73,253,253
74,277,277
75,275,275
76,276,276
77,406,406
78,274,274
79,273,273
80,346,346
81,272,272
82,271,271
83,263,263
84,252,252
85,251,251
86,242,242
87,241,241
88,240,240
89,250,250
90,249,249
91,345,345
92,248,248
93,247,247
94,246,246
95,245,245
96,244,244
97,243,243
98,239,239
99,238,238
100,229,229
101,217,217
102,228,228
103,225,225
104,227,227
105,237,237
106,226,226
107,230,230
108,231,231
109,236,236
110,215,215
111,214,214
112,232,232
113,235,235
114,234,234
115,344,344
116,233,233
117,213,213
118,212,212
119,211,211
120,210,210
121,206,206
122,209,209
123,221,221
124,208,208
125,207,207
126,206,206
127,224,224
128,205,205
129,220,220
130,219,219
131,223,223
132,219,219
133,222,222
134,218,218
135,343,343
136,203,203
137,204,204
138,216,216
139,202,202
140,201,201
141,200,200
142,199,199
143,198,198
144,197,197
145,196,196
146,195,195
147,193,193
148,194,194
149,192,192
150,191,191
151,190,190
152,189,189
153,188,188
154,187,187
155,342,342
156,187,187
157,186,186
158,178,178
159,176,176
160,175,175
161,174,174
162,173,173
163,172,172
164,171,171
165,170,170
166,169,169
167,341,341
168,184,184
169,167,167
170,168,168
171,185,185
172,183,183
173,182,182
174,181,181
175,156,156
176,180,180
177,179,179
178,166,166
179,177,177
180,165,165
181,155,155
182,155,155
183,164,164
184,163,163
185,162,162
186,161,161
187,340,340
188,160,160
189,41,41
190,159,159
191,158,158
192,41,41
193,27,27
194,157,157
195,43,43
196,44,44
197,45,45
198,23,23
199,22,22
200,14,14
201,28,28
202,46,46
203,31,31
204,29,29
205,47,47
206,20,20
207,18,18
208,30,30
209,40,40
210,17,17
211,49,49
212,42,42
213,19,19
214,15,15
215,21,21
216,51,51
217,154,154
218,50,50
219,46,46
220,16,16
221,153,153
222,32,32
223,13,13
224,34,34
225,48,48
226,12,12
227,153,153
228,33,33
229,53,53
230,53,53
231,53,53
232,53,53
233,52,52
234,53,53
235,48,48
236,53,53
237,53,53
238,53,53
239,144,144
240,53,53
241,53,53
242,146,146
243,11,11
244,151,151
245,152,152
246,54,54
247,150,150
248,142,142
249,147,147
250,78,78
251,145,145
252,26,26
253,137,137
254,78,78
255,25,25
256,55,55
257,141,141
258,143,143
259,149,149
260,88,88
261,140,140
262,24,24
263,79,79
264,148,148
265,24,24
266,56,56
267,134,134
268,80,80
269,139,139
270,81,81
271,57,57
272,89,89
273,138,138
274,58,58
275,136,136
276,135,135
277,39,39
278,87,87
279,134,134
280,59,59
281,38,38
282,121,121
283,133,133
284,86,86
285,85,85
286,86,86
287,60,60
288,122,122
289,37,37
290,127,127
291,123,123
292,132,132
293,36,36
294,61,61
295,128,128
296,82,82
297,84,84
298,35,35
299,131,131
300,130,130
301,62,62
302,10,10
303,127,127
304,63,63
305,126,126
306,129,129
307,125,125
308,67,67
309,83,83
310,68,68
311,124,124
312,9,9
313,77,77
314,69,69
315,65,65
316,64,64
317,66,66
318,8,8
319,76,76
320,6,6
321,70,70
322,7,7
323,5,5
324,66,66
325,70,70
326,70,70
327,70,70
328,103,103
329,71,71
330,4,4
331,73,73
332,102,102
333,70,70
334,115,115
335,101,101
336,3,3
337,99,99
338,74,74
339,118,118
340,100,100
341,72,72
342,2,2
343,75,75
344,98,98
345,120,120
346,90,90
347,92,92
348,93,93
349,116,116
350,106,106
351,1,1
352,114,114
353,95,95
354,111,111
355,117,117
356,119,119
357,107,107
358,105,105
359,97,97
360,113,113
361,112,112
362,339,339
363,110,110
364,110,110
365,109,109
366,91,91
367,96,96
368,104,104
369,94,94
370,108,108
371,333,333
372,332,332
373,323,323
374,405,405
375,322,322
376,421,421
377,385,385
378,411,411
379,386,386
380,397,397
381,398,398
382,399,399
383,400,400
384,401,401
385,402,402
386,412,412
387,403,403
388,404,404
389,387,387
390,388,388
391,389,389
392,390,390
393,391,391
394,392,392
395,413,413
396,393,393
397,394,394
398,395,395
399,396,396
400,377,377
401,414,414
402,378,378
403,379,379
404,380,380
405,381,381
406,382,382
407,383,383
408,384,384
409,362,362
410,363,363
411,364,364
412,365,365
413,366,366
414,367,367
415,415,415
416,368,368
417,369,369
418,370,370
419,371,371
420,372,372
421,373,373
422,374,374
423,375,375
424,376,376
425,347,347
426,348,348
427,416,416
428,354,354
429,355,355
430,356,356
431,357,357
432,358,358
433,359,359
434,360,360
435,361,361
436,349,349
437,350,350
438,351,351
439,407,407
440,352,352
441,353,353
442,408,408
443,417,417
444,418,418
445,422,422
446,410,410
447,423,423
448,424,424
449,425,425
450,426,426
451,427,427
452,428,428
453,429,429
454,409,409
455,419,419
456,420,420
