id,source,Latitude,Longitude,Permanent_Identifier,GNIS_Name,GNIS_ID,dist_dd,Station,Description,Slope,notes,lake_abbv,FDate,Resolution,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,NHDPlusID,VPUID,NW
1,NW,40.2411,-105.8045,{B483B704-53F3-41B5-B65A-401D555B16C8},Grand Lake,204950,NA,GL-ATW,GrandLakeWestPortal,West,NA,GL,2014-07-14T17:00:00Z,2,1.9529575,2550.2616,14010001023630,390,39009,0,0.0662385504383286,2.0669935390583e-4,41000300146738,1401,yes
2,NW,40.2433,-105.8133,{B483B704-53F3-41B5-B65A-401D555B16C8},Grand Lake,204950,NA,GL-MID,GrandLakeMid-Section,West,NA,GL,2014-07-14T17:00:00Z,2,1.9529575,2550.2616,14010001023630,390,39009,0,0.0662385504383286,2.0669935390583e-4,41000300146738,1401,yes
3,NW,40.1497,-105.8649,88894713,Lake Granby,202532,NA,GR-DAM,GranbyReservoirneartheDam,West,NA,GR,2016-03-21T17:00:00Z,2,28.63147574,2523.744,14010001002895,436,43615,0,0.73005650650218,0.0030264607365251,41000300145782,1401,yes
4,NW,40.135,-105.7964,88894713,Lake Granby,202532,NA,GR-EAS,GranbyReservoirontheEastSide,West,NA,GR,2016-03-21T17:00:00Z,2,28.63147574,2523.744,14010001002895,436,43615,0,0.73005650650218,0.0030264607365251,41000300145782,1401,yes
5,NW,40.175,-105.8697,88894713,Lake Granby,202532,NA,GR-WES,GranbyReservoirontheWestSide,West,NA,GR,2016-03-21T17:00:00Z,2,28.63147574,2523.744,14010001002895,436,43615,0,0.73005650650218,0.0030264607365251,41000300145782,1401,yes
6,NW,40.2445,-105.82470000000001,88880859,Shadow Mountain Lake,178135,NA,SM-CHL,ShadowMountainChannelinGrandLakeatchannelmouth,West,NA,SM,2014-02-18T16:00:00Z,2,5.32105345,2550.2616,14010001002847,436,43615,0,0.207499191551476,5.6304462980148e-4,41000300136161,1401,yes
7,NW,40.2101,-105.8421,88880859,Shadow Mountain Lake,178135,NA,SM-DAM,ShadowMountainReservoirneartheDam,West,NA,SM,2014-02-18T16:00:00Z,2,5.32105345,2550.2616,14010001002847,436,43615,0,0.207499191551476,5.6304462980148e-4,41000300136161,1401,yes
8,NW,40.2252,-105.8372,88880859,Shadow Mountain Lake,178135,NA,SM-MID,ShadowMountainReservoirMid-Section,West,NA,SM,2014-02-18T16:00:00Z,2,5.32105345,2550.2616,14010001002847,436,43615,0,0.207499191551476,5.6304462980148e-4,41000300136161,1401,yes
9,NW,40.148,-105.9426,88889631,Willow Creek Reservoir,178088,NA,WC-DAM,WillowCreekReservoiratDam,West,edited,WC,2016-03-21T17:00:00Z,2,1.18222999,NA,14010001002871,436,43615,0,0.111126003360731,1.2495363248323e-4,41000300142211,1401,yes
10,NW,40.107694,-105.9826,88861035,Windy Gap Reservoir,197899,NA,WG-DAM,WindyGapReservoiratDam,West,edited,WG,2016-04-13T17:00:00Z,2,0.41397711,NA,14010001010337,436,43615,0,0.049742560701021,4.37269292844815e-5,41000300136613,1401,yes
11,NW,40.3253,-105.2152,120819486,Carter Lake Reservoir,178047,NA,CL-DAM1,CarterLakeDam#1,East,NA,CL,2004-05-26T07:53:39Z,2,4.533,1755.3,10190006000870,390,39009,0,0.122344885070393,4.8044141983297e-4,23001900245424,1019,yes
12,NW,40.5543,-105.1506,128076370,Horsetooth Reservoir,177416,NA,HT-DIX,HorsetoothReservoiratDixonCanyonDam,East,NA,HT,2007-12-26T14:19:23Z,2,7.355,1655.1,10190007002437,390,39009,0,0.425066800025415,7.8208623362787e-4,23001900243024,1019,yes
13,NW,40.5888,-105.1649,128076370,Horsetooth Reservoir,177416,NA,HT-SOL,HorsetoothReservoiratSoldierCanyonDam,East,NA,HT,2007-12-26T14:19:23Z,2,7.355,1655.1,10190007002437,390,39009,0,0.425066800025415,7.8208623362787e-4,23001900243024,1019,yes
14,NW,40.5292,-105.1456,128076370,Horsetooth Reservoir,177416,NA,HT-SPR,HorsetoothReservoiratSpringCanyonDam,East,NA,HT,2007-12-26T14:19:23Z,2,7.355,1655.1,10190007002437,390,39009,0,0.425066800025415,7.8208623362787e-4,23001900243024,1019,yes
15,centers,40.7764432816406,-106.633640107422,128862679,Bear Lakes,170412,5.8237982051751e-4,NA,NA,NA,NA,NA,2004-11-01T09:10:15Z,2,0.036,NA,10180001002192,390,39004,0,0.00999754063116902,3.8881499034578e-6,23001800228407,1018,no
